AreaCode,AreaName,CategoryAttribute,Denominator,Factor,IndicatorCode,IndicatorName,IndicatorShortName,LowerConfidenceLimit,MetricCategoryName,MetricCategoryTypeName,Numerator,TimePeriodName,UpperConfidenceLimit,Value,ValueNote
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,121115.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),68.35,Persons,Sex,83105.0,To March 2023,68.88,68.62,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,60850.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),67.31,Male,Sex,41185.0,To March 2023,68.06,67.69,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,60270.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),69.19,Female,Sex,41920.0,To March 2023,69.92,69.55,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,1940.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),49.15,18-39,Age group,995.0,To March 2023,53.58,51.39,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,970.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),42.64,18-39,Age group,445.0,To March 2023,48.82,45.76,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,970.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),53.85,18-39,Age group,555.0,To March 2023,60.0,57.0,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,26675.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),56.47,40-59,Age group,15225.0,To March 2023,57.66,57.07,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,14550.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),53.08,40-59,Age group,7840.0,To March 2023,54.7,53.89,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,12130.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),60.01,40-59,Age group,7385.0,To March 2023,61.74,60.88,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,65340.0,,CVDP007HYP,"Percentage of patients aged 18 and over, with GP recorded hypertension, in whom the last blood pressure reading (measured in the preceding 12 months) is below the age appropriate treatment threshold.",Hypertension: treatment to recommended age specific thresholds (all ages),69.19,60-79,Age group,45440.0,To March 2023,69.9,69.55,
